angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.0,,,"[1301, 108, 1034, 1363]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.21,,"[1323, 112, 1015, 1336]","[1221, 1774, 26, 33]",,0.0,0.04,,0.0,0.09,,1.0,0.16,,0.0,0.04,,0.0,0.44,,0.0,0.01,
0.0,0.26,,"[1322, 106, 1021, 1344]","[1221, 1774, 26, 34]",,0.0,0.06,,0.0,0.09,,1.0,0.18,,0.0,0.03,,0.0,0.37,,0.0,0.01,
0.0,,,"[1320, 103, 1019, 1344]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1317, 97, 1025, 1352]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.25,,"[1316, 94, 1027, 1354]","[1225, 1778, 26, 33]",,0.0,0.02,,0.0,0.09,,1.0,0.15,,0.0,0.05,,0.0,0.43,,0.0,0.01,
0.0,,,"[1315, 95, 1028, 1354]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.23,,"[1339, 125, 1018, 1338]","[1226, 1780, 25, 32]",,0.0,0.03,,0.0,0.11,,1.0,0.14,,0.0,0.05,,0.0,0.44,,0.0,0.01,
0.0,,,"[1339, 123, 1019, 1340]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1338, 123, 1021, 1343]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1337, 122, 1023, 1345]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1336, 120, 1024, 1348]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.4,,"[1336, 117, 1025, 1351]","[827, 2107, 26, 31]",,0.0,0.0,,0.0,0.08,,1.0,0.23,,0.0,0.04,,0.0,0.25,,0.0,0.01,
0.0,,,"[1314, 82, 1036, 1366]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1312, 77, 1037, 1371]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.22,,"[1308, 74, 1037, 1374]","[2965, 1959, 54, 71]",,0.0,0.0,,0.0,0.09,,1.0,0.02,,0.0,0.11,,0.0,0.55,,0.0,0.01,
0.0,0.22,,"[1316, 91, 1021, 1357]","[2963, 1959, 55, 70]",,0.0,0.0,,0.0,0.1,,1.0,0.04,,0.0,0.13,,0.0,0.49,,0.0,0.01,
0.0,,,"[1339, 122, 998, 1338]",,,0.0,,,0.0,,,0.99,,,0.0,,,0.0,,,0.0,,
0.0,,,"[1333, 108, 1007, 1350]",,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,
0.0,0.2,,"[1310, 94, 1029, 1368]","[2965, 1955, 53, 70]",,0.0,0.0,,0.0,0.1,,1.0,0.03,,0.0,0.14,,0.0,0.51,,0.0,0.01,
